datarate,PCell_Downlink_TB_Size,SCell_Downlink_TB_Size,PCell_SNR_1,PCell_SNR_2,SCell_SNR_1,SCell_SNR_2,PCell_RSSI_1,PCell_RSSI_2,PCell_RSSI_max,PCell_RSRP_1,PCell_RSRP_2,PCell_RSRP_max,PCell_Downlink_Average_MCS,SCell_Downlink_Average_MCS,PCell_Downlink_Num_RBs,SCell_Downlink_Num_RBs
91800000.0,6458405.0,6593182.0,18.888999919891358,23.177000007629395,23.600999965667725,25.95599992752075,-41.373125,-45.143125,-45.143125,-76.0925,-79.323125,-76.0925,25.0,25.0,46375.0,46630.0
92700000.0,6063888.0,6674811.0,18.96699998855591,23.107999954223633,23.260999965667725,26.016999931335448,-41.558125,-45.138125,-45.138125,-76.09625,-79.386875,-76.09625,25.0,25.0,43019.0,47190.0
93700000.0,6538723.0,7254412.0,19.083000030517578,23.35899995803833,23.481999950408934,25.89099988937378,-41.695,-45.238125,-45.238125,-76.278125,-79.393125,-76.278125,26.0,25.0,45272.0,50254.0
93900000.0,6739630.0,6828125.0,18.741999950408935,23.27599994659424,23.41400005340576,26.229999980926515,-42.0,-45.3625,-45.3625,-76.5,-79.388125,-76.5,26.0,26.0,46345.0,46148.0
91900000.0,5709998.0,6710807.0,19.262999992370606,23.689999980926515,24.008000011444093,26.713000030517577,-41.781875,-45.271875,-45.271875,-76.174375,-79.281875,-76.174375,25.0,26.0,42176.0,46064.0
83900000.0,5336699.0,6443882.0,19.099999980926512,23.053999996185304,23.428999977111815,26.44699998855591,-41.7675,-45.62,-45.62,-76.453125,-79.70625,-76.453125,25.0,24.0,39709.0,47731.0
86500000.0,5775988.0,7253684.0,18.763000020980837,23.118000030517578,22.746000003814697,26.346999950408936,-41.89,-45.190625,-45.190625,-76.533125,-79.198125,-76.533125,25.0,25.0,40872.0,49666.0
97000000.0,5529668.0,8425085.0,18.518000049591066,23.91699993133545,23.71,26.743999996185302,-43.44625,-43.68375,-43.68375,-77.951875,-77.87875,-77.734375,26.0,28.0,36995.0,46408.0
96500000.0,6543239.0,8296641.0,20.169000034332274,24.383999996185302,22.773999977111817,26.770000057220457,-41.360625,-43.265625,-43.265625,-76.00875,-77.608125,-75.928125,27.0,28.0,42053.0,47046.0
99300000.0,6622638.0,7330453.0,19.39399990081787,23.482999992370605,22.37300001144409,26.06000005722046,-41.925625,-43.99375,-43.99375,-76.896875,-78.609375,-76.896875,27.0,26.0,42809.0,47540.0
105000000.0,6679368.0,8812256.0,20.62,23.871000003814697,21.244000053405763,26.138000087738035,-40.52875,-43.400625,-43.400625,-75.2475,-77.809375,-75.2475,26.0,28.0,44672.0,47990.0
113000000.0,6783506.0,8180377.0,20.21099998474121,23.94300001144409,20.557999973297118,26.31899995803833,-40.869375,-43.4475,-43.4475,-75.8925,-78.091875,-75.8925,27.0,28.0,42917.0,46279.0
95500000.0,5484579.0,7670644.0,20.427000045776367,23.979000034332277,20.10899998664856,26.445000095367433,-41.174375,-44.0425,-44.0425,-75.735625,-78.289375,-75.735625,27.0,27.0,34405.0,47576.0
81200000.0,5770061.0,6398720.0,20.478999919891358,23.613999996185303,20.76299997329712,26.509000034332274,-40.690625,-44.29875,-44.29875,-75.36625,-78.581875,-75.36625,25.0,25.0,40353.0,46240.0
82400000.0,3965745.0,6496042.0,20.3889999961853,23.55399990081787,21.29599994659424,26.606999950408934,-40.9275,-44.103125,-44.103125,-75.408125,-78.470625,-75.408125,24.0,24.0,29412.0,47900.0
81700000.0,5474364.0,6169772.0,19.68199987411499,22.426999969482424,21.894999961853028,27.105000019073486,-40.668125,-43.898125,-43.898125,-75.696875,-78.655625,-75.696875,24.0,24.0,41471.0,45832.0
84200000.0,5068542.0,6127041.0,20.067000007629396,23.076000099182128,21.719999980926513,26.887000007629396,-40.7525,-44.075625,-44.075625,-75.36625,-78.581875,-75.36625,25.0,25.0,36604.0,44068.0
69000000.0,3564405.0,6852654.0,20.188999996185302,22.39699998855591,21.46599998474121,26.833000049591064,-40.778125,-44.5925,-44.5925,-75.348125,-78.77375,-75.348125,23.0,26.0,29721.0,44036.0
83900000.0,5579810.0,7607604.0,19.85900005340576,22.77399995803833,20.643000030517577,26.57399995803833,-41.00375,-44.186875,-44.186875,-75.68125,-78.563125,-75.68125,23.0,27.0,44531.0,47198.0
90900000.0,4913116.0,6740545.0,19.845999984741212,23.78100009918213,22.27200002670288,26.22599998474121,-41.3425,-44.669375,-44.669375,-75.868125,-78.829375,-75.868125,23.0,26.0,42175.0,45968.0
76500000.0,4005247.0,6580521.0,19.61700004577637,23.22299995422363,22.236000061035156,26.075999984741213,-40.833125,-44.740625,-44.740625,-75.48625,-78.78,-75.48625,22.0,25.0,36571.0,47648.0
65099999.99999999,3608394.0,6609393.0,19.417999973297118,22.72799997329712,23.09600004196167,26.34999990463257,-40.9275,-44.546875,-44.546875,-75.733125,-78.89625,-75.733125,24.0,26.0,27753.0,45294.0
82800000.0,5253815.0,6699776.0,19.889000053405763,23.36400001525879,22.973999881744383,26.488999919891356,-41.1,-44.74875,-44.74875,-75.825,-79.1025,-75.825,26.0,25.0,35534.0,46654.0
86800000.0,5402618.0,6703533.0,20.463000068664552,23.292999877929688,22.84900005340576,26.107000122070314,-40.63,-44.87,-44.87,-75.13625,-79.060625,-75.13625,26.0,25.0,36077.0,47585.0
83400000.0,5862323.0,6654843.0,20.49200008392334,23.601000003814697,23.14200002670288,26.382000007629394,-40.7425,-45.105625,-45.105625,-75.191875,-79.1825,-75.191875,25.0,25.0,41643.0,47744.0
80400000.0,5303915.0,6478414.0,20.311000022888184,23.643999919891357,22.981999969482423,26.07899991989136,-40.839375,-44.93,-44.93,-75.259375,-79.03625,-75.259375,26.0,25.0,36009.0,47264.0
89300000.0,6228220.0,6745543.0,19.96500003814697,23.23800006866455,23.307999954223632,25.97599998474121,-40.60875,-45.01125,-45.01125,-75.28625,-79.205,-75.28625,26.0,25.0,42177.0,48002.0
91200000.0,5630275.0,6367030.0,19.130999994277953,23.414999885559084,22.932000007629394,26.260000038146973,-41.42625,-45.2,-45.2,-75.968125,-79.1425,-75.968125,24.0,25.0,42192.0,45120.0
84200000.0,6544755.0,6013943.0,20.68900007247925,23.512000045776368,23.040000076293946,26.30700008392334,-40.22125,-45.15125,-45.15125,-74.683125,-79.080625,-74.683125,26.0,25.0,45077.0,43470.0
84600000.0,5482879.0,6527610.0,20.924000053405763,23.748999996185304,23.437999935150145,26.891999912261962,-39.749375,-44.65125,-44.65125,-74.388125,-78.829375,-74.388125,25.0,25.0,38254.0,46730.0
87200000.0,6179195.0,6214764.0,20.71799987792969,24.12699998855591,23.752999992370604,26.26500005722046,-39.983125,-44.58125,-44.58125,-74.689375,-78.848125,-74.689375,26.0,25.0,41518.0,44892.0
79200000.0,4490318.0,4455552.0,19.590000057220458,24.18499990463257,23.64899990081787,26.43600004196167,-41.189375,-44.6575,-44.6575,-75.9125,-78.833125,-75.9125,24.0,24.0,33851.0,33536.0
62000000.0,5344958.0,5270123.0,19.234000043869017,23.05700008392334,23.17499994277954,25.96300001144409,-40.8125,-44.596875,-44.596875,-75.911875,-78.973125,-75.911875,24.0,25.0,42575.0,37948.0
86800000.0,6690816.0,6561991.0,19.706000061035155,22.67099994659424,23.618000049591064,26.359999961853028,-39.735,-44.090625,-44.090625,-75.066875,-78.79875,-75.066875,25.0,25.0,48778.0,45892.0
88000000.0,6299506.0,6088612.0,19.832999897003173,22.865000019073488,23.57300006866455,27.175999908447267,-39.8775,-44.275625,-44.275625,-74.89375,-78.68,-74.89375,25.0,24.0,45781.0,45060.0
88200000.0,5877174.0,5551927.0,19.662999992370604,23.242000007629393,23.333999977111816,27.364000034332275,-40.41625,-44.6375,-44.6375,-75.19625,-78.734375,-75.19625,25.0,24.0,43122.0,41728.0
72500000.0,4686398.0,5004756.0,20.114000072479246,23.44499996185303,22.58499994277954,27.141000022888182,-40.884375,-44.6,-44.6,-75.19125,-78.51125,-75.19125,25.0,24.0,33940.0,37340.0
59300000.0,4233437.0,3916702.0,20.170000038146974,23.574999980926513,22.33599998474121,25.993999977111816,-40.6175,-44.375,-44.375,-75.105625,-78.423125,-75.105625,25.0,24.0,30715.0,30254.0
78200000.0,6668949.0,7361160.0,20.65299995422363,24.175000019073487,21.76,27.33699996948242,-40.661875,-44.484375,-44.484375,-75.093125,-78.49,-75.093125,25.0,26.0,47017.0,47460.0
97800000.0,6395883.0,6451651.0,20.52399995803833,23.890999908447267,22.170000019073488,26.940000038146973,-40.353125,-44.481875,-44.481875,-74.94375,-78.465625,-74.94375,25.0,26.0,45355.0,42414.0
78200000.0,4839502.0,4558570.0,20.709999980926515,23.79300003051758,22.26200008392334,26.407999954223634,-39.68875,-44.380625,-44.380625,-74.67125,-78.68,-74.67125,24.0,24.0,36550.0,33143.0
72100000.0,6369107.0,5854310.0,20.785000038146972,23.844999961853027,22.617999935150145,26.765999908447267,-39.650625,-44.345625,-44.345625,-74.613125,-78.638125,-74.613125,25.0,25.0,44837.0,42081.0
81400000.0,6775656.0,5175510.0,20.819000034332277,23.760999927520754,22.061999912261964,26.811000003814698,-39.86,-44.45625,-44.45625,-74.408125,-78.504375,-74.408125,26.0,23.0,47009.0,42416.0
87600000.0,6547629.0,5560123.0,20.311000022888184,23.160000095367433,21.815999870300292,26.948999996185304,-39.7275,-44.306875,-44.306875,-74.59,-78.6125,-74.59,25.0,23.0,47581.0,43908.0
86500000.0,5748807.0,6442895.0,20.685,23.553999919891357,22.422000102996826,27.010000019073487,-39.95625,-44.720625,-44.720625,-74.4,-78.7025,-74.4,24.0,25.0,43028.0,46716.0
85300000.0,5956727.0,5553858.0,20.814999980926515,22.944999980926514,22.936000022888184,26.550000019073487,-39.92125,-45.115,-45.115,-74.439375,-79.385625,-74.439375,25.0,25.0,43300.0,38572.0
69900000.0,4238505.0,4514706.0,20.467000007629395,22.458999977111816,23.027000064849855,26.63999994277954,-40.0975,-45.186875,-45.186875,-74.48125,-79.345625,-74.48125,25.0,25.0,30832.0,32150.0
61800000.0,4469217.0,4666621.0,20.81300006866455,23.088999996185304,22.609999980926514,26.92799997329712,-39.79875,-44.759375,-44.759375,-74.396875,-78.8675,-74.396875,26.0,25.0,30563.0,33439.0
64500000.0,4024586.0,3984052.0,20.92799997329712,23.52900007247925,22.87300008773804,26.834000034332277,-40.001875,-44.699375,-44.699375,-74.35125,-78.768125,-74.35125,25.0,25.0,28722.0,28232.0
57300000.0,3699485.0,5064319.0,20.29200002670288,23.5560001373291,22.985000095367432,26.634999885559083,-40.62875,-45.115,-45.115,-75.05625,-79.005625,-75.05625,24.0,25.0,27962.0,35904.0
56300000.0,4118940.0,4852348.0,20.406000003814697,24.122999877929686,22.950000019073485,25.788999996185304,-40.333125,-44.651875,-44.651875,-75.29,-79.18,-75.29,25.0,24.0,29051.0,36626.0
61600000.0,3107209.0,4218388.0,20.916999912261964,24.431999950408937,23.401999950408936,25.661999931335448,-39.883125,-44.244375,-44.244375,-74.74375,-78.745,-74.74375,25.0,25.0,21370.0,30621.0
52300000.0,3040005.0,3911475.0,21.092999897003175,24.264999980926515,23.242999992370606,26.06099992752075,-39.54625,-44.42125,-44.42125,-74.3525,-78.801875,-74.3525,25.0,24.0,21622.0,28933.0
47200000.0,2785490.0,4518988.0,20.71299997329712,23.92500005722046,23.58699998855591,25.93699996948242,-39.978125,-44.515625,-44.515625,-74.8175,-78.878125,-74.8175,24.0,25.0,21289.0,32508.0
64700000.0,3612300.0,6579153.0,20.469000034332275,24.113000087738037,24.143000049591066,25.71599998474121,-40.25375,-44.659375,-44.659375,-75.169375,-79.013125,-75.169375,24.0,25.0,26582.0,46801.0
64500000.0,2186984.0,5633545.0,20.307999954223632,23.7089999961853,23.946999912261962,25.546000003814697,-40.396875,-44.565,-44.565,-75.14125,-79.008125,-75.14125,23.0,25.0,18196.0,40780.0
57700000.0,2983320.0,5830012.0,20.37799991607666,24.246999950408934,23.87999994277954,26.01900001525879,-40.070625,-44.52875,-44.52875,-75.049375,-78.995,-75.049375,23.0,26.0,24602.0,39756.0
66599999.99999999,2305854.0,6227539.0,20.81100004196167,23.88900007247925,23.867999954223635,25.78899990081787,-40.145,-44.77875,-44.77875,-74.62,-79.00375,-74.62,22.0,25.0,20133.0,44123.0
56500000.0,2372945.0,6397036.0,21.08799997329712,23.69099998474121,23.231000061035157,25.46599998474121,-40.175,-45.196875,-45.196875,-74.196875,-79.086875,-74.196875,24.0,25.0,18043.0,44308.0
75100000.0,4565078.0,7076123.0,21.000999965667724,23.64900001525879,23.02099998474121,25.67000005722046,-39.684375,-44.613125,-44.613125,-74.3475,-78.99625,-74.3475,26.0,26.0,30832.0,46156.0
81300000.0,3223438.0,7198596.0,20.577999935150146,23.665000019073485,23.43300003051758,26.124000129699706,-40.29625,-44.525625,-44.525625,-75.103125,-79.04375,-75.103125,26.0,27.0,21839.0,44902.0
67300000.0,4078058.0,7478787.0,20.77400001525879,23.905000019073487,23.021000061035156,25.79699996948242,-40.748125,-44.80625,-44.80625,-74.97375,-78.916875,-74.97375,26.0,27.0,27789.0,47190.0
85400000.0,2685384.0,7182544.0,20.692000064849854,23.754999980926513,23.329999980926512,25.981000022888182,-40.81375,-44.951875,-44.951875,-75.055625,-78.94875,-75.055625,26.0,27.0,18401.0,44182.0
66099999.99999999,3581376.0,6973245.0,20.13100004196167,23.257000045776365,22.207999954223634,25.63599998474121,-41.17875,-45.11625,-45.11625,-75.370625,-79.041875,-75.370625,25.0,25.0,25844.0,48270.0
83300000.0,3276068.0,8414228.0,20.659999942779542,23.03299997329712,21.987999897003174,26.14099998474121,-41.123125,-44.836875,-44.836875,-75.24,-79.018125,-75.24,26.0,27.0,21890.0,48864.0
86300000.0,3670145.0,8114531.0,20.858999996185304,23.27700002670288,22.30599998474121,26.473000011444093,-41.226875,-44.920625,-44.920625,-75.220625,-79.111875,-75.220625,26.0,28.0,23785.0,44044.0
72600000.0,3301310.0,7290442.0,20.302999954223633,23.45400001525879,22.05,26.302000045776367,-41.7325,-44.55125,-44.55125,-75.91,-78.809375,-75.91,26.0,27.0,21270.0,43864.0
74600000.0,3252227.0,7511666.0,19.771000061035156,23.38399995803833,21.98200008392334,26.570999927520752,-42.18,-44.67375,-44.67375,-76.656875,-79.171875,-76.656875,27.0,27.0,19443.0,46982.0
86800000.0,3348384.0,8525949.0,20.030999965667725,23.26499996185303,22.357999954223633,27.352000007629396,-42.310625,-45.218125,-45.218125,-76.391875,-79.195,-76.391875,28.0,28.0,19941.0,49212.0
85500000.0,6125577.0,6992103.0,20.43899991989136,23.19499996185303,20.423000087738036,26.167000007629394,-41.47625,-43.823125,-43.823125,-76.044375,-78.599375,-76.044375,27.0,26.0,38266.0,46480.0
82600000.0,3059998.0,8184209.0,16.724000015258788,22.78299997329712,22.71799987792969,25.324999961853027,-45.33,-45.144375,-45.144375,-79.3975,-78.82875,-78.134375,27.0,28.0,18937.0,47718.0
77300000.0,3727593.0,7065329.0,17.189000005722047,20.45599998474121,20.14700002670288,24.548999977111816,-43.021875,-48.721875,-48.721875,-78.223125,-82.625,-78.223125,27.0,25.0,23147.0,50762.0
73000000.0,4232838.0,6352008.0,16.643000068664552,20.145000095367433,20.48900005340576,23.273000011444093,-44.60625,-50.25625,-50.25625,-79.621875,-84.075625,-79.621875,26.0,26.0,28409.0,41599.0
73100000.0,3146716.0,6964910.0,13.521999969482422,19.783999977111815,22.422999992370606,22.555999965667723,-47.02125,-50.71125,-50.71125,-81.959375,-84.42125,-81.955,24.0,25.0,24093.0,47478.0
57600000.0,2181988.0,5053567.0,9.65100000143051,16.700000019073485,18.813000011444093,20.241000022888183,-52.458125,-51.01625,-51.01625,-87.019375,-84.943125,-84.8425,21.0,22.0,25621.0,43556.0
53800000.0,1728188.0,5415565.0,9.048999989032746,17.024000072479247,16.293999977111817,19.810999946594237,-52.19625,-52.248125,-52.248125,-87.269375,-86.01875,-85.734375,18.0,22.0,24126.0,47413.0
43300000.0,2262385.0,3983548.0,9.152999994754792,15.177000045776367,14.624000034332276,18.160999946594238,-52.65625,-53.86625,-53.86625,-87.845625,-88.51375,-87.56625,16.0,19.0,35105.0,46280.0
42200000.0,1513743.0,3526619.0,8.067000035047531,15.603000049591065,14.755999994277953,17.22200005531311,-53.320625,-54.51625,-54.51625,-88.135625,-88.293125,-87.29625,18.0,18.0,21948.0,41364.0
37400000.0,1604625.0,4332258.0,6.486999992132187,14.812000079154968,13.528999938964844,17.16200011253357,-54.589375,-56.191875,-56.191875,-89.723125,-90.055,-88.96625,20.0,18.0,23859.0,53778.0
37900000.0,1460216.0,3228454.0,4.508999991118908,15.953000001907348,14.402000064849853,17.452000074386596,-57.82875,-57.84125,-57.84125,-93.21875,-91.7925,-91.423125,22.0,19.0,24233.0,39134.0
35700000.0,1803793.0,3382215.0,4.077999987304211,14.37399998664856,11.559999976158142,15.57,-57.430625,-58.129375,-58.129375,-93.8975,-93.25,-92.77375,21.0,18.0,30826.0,48193.0
32200000.000000004,1393730.0,3025695.0,3.8449999995529653,14.423000054359436,10.761999945640564,14.099000015258788,-58.55375,-60.093125,-60.093125,-94.691875,-94.70625,-93.8175,19.0,16.0,30118.0,44204.0
30000000.0,1600754.0,2558002.0,2.597999992519617,12.220999989509583,9.113000025749207,12.788999977111816,-58.895,-60.35625,-60.35625,-96.060625,-95.633125,-95.07625,19.0,13.0,34478.0,47794.0
31000000.0,1866019.0,2644693.0,0.1780000014603138,10.837999992370605,9.13099998474121,12.836999988555908,-59.204375,-60.371875,-60.371875,-97.363125,-96.451875,-96.181875,19.0,14.0,41660.0,45431.0
27000000.0,1129471.0,2126385.0,-0.2500000039488077,11.035000009536743,8.789999995231629,13.410999975204469,-60.89875,-62.935625,-62.935625,-98.7625,-97.8975,-97.743125,17.0,17.0,29231.0,40208.0
22400000.0,1113512.0,2121048.0,-1.6350000013411046,11.084000043869018,7.0890000057220455,12.730999994277955,-61.833125,-63.505,-63.505,-100.176875,-98.33375,-98.263125,18.0,18.0,25915.0,43972.0
21500000.0,831934.0,2033082.0,-1.8570000033080578,10.347000036984682,5.794000034332275,11.694000005722046,-61.84875,-64.705,-64.705,-100.36875,-100.079375,-99.559375,16.0,19.0,23424.0,45856.0
19200000.0,1246222.0,1904917.0,-2.3869999907910824,9.661000014096498,4.724999985694885,10.913999967575073,-61.785,-63.99125,-63.99125,-100.755,-99.893125,-99.470625,15.0,18.0,36634.0,46864.0
21700000.0,559152.0,2053413.0,-1.938000002577901,7.9080000478029255,5.529000000953674,10.804999966621398,-62.096875,-66.57125,-66.57125,-100.3725,-101.92875,-100.106875,13.0,16.0,20912.0,47000.0
16800000.0,729175.0,1545749.0,-2.749000003859401,6.883000029325485,4.194999984502792,8.714000010490418,-62.664375,-66.139375,-66.139375,-101.394375,-101.655,-101.018125,13.0,13.0,25704.0,44226.0
17800000.0,929941.0,1845741.0,-3.960000001192093,9.444000037908554,5.609999995231629,8.322000007629395,-63.005,-65.973125,-65.973125,-102.285625,-101.345,-101.166875,16.0,13.0,25268.0,48904.0
22200000.0,795039.0,2247605.0,-3.8530000030994414,8.86900001525879,5.336000022888183,10.30199999809265,-63.134375,-65.91875,-65.91875,-102.13125,-101.415625,-101.0375,16.0,13.0,22065.0,48688.0
18800000.0,1228110.0,1889767.0,-3.7419999957084658,8.431999990940094,3.391999999284744,11.224999961853028,-63.046875,-66.67625,-66.67625,-102.24875,-102.08375,-101.891875,15.0,17.0,37573.0,45026.0
22200000.0,1138574.0,1644190.0,-3.858000011444092,6.43100002169609,2.98899999499321,9.432000031471253,-62.7125,-66.24625,-66.24625,-101.9275,-102.55375,-101.903125,15.0,17.0,35448.0,44022.0
18400000.0,1110410.0,1640197.0,-3.5769999980926515,6.926000018119812,3.2490000027418136,8.985000052452087,-62.46125,-65.936875,-65.936875,-101.5625,-102.1675,-101.47875,15.0,16.0,33257.0,44752.0
19200000.0,1012350.0,1700176.0,-3.867999997138977,6.204999991059303,4.683999996185303,9.056000027656555,-62.65625,-65.876875,-65.876875,-101.81375,-101.998125,-101.6225,15.0,12.0,30524.0,42044.0
21400000.0,1300961.0,1818868.0,-4.71400000333786,6.421000003814697,4.676999995708465,10.593000030517578,-62.716875,-65.399375,-65.399375,-102.34,-101.656875,-101.593125,15.0,17.0,39005.0,42240.0
15600000.0,603750.0,979339.0,-3.4969999957084656,6.042999990582466,3.568999996185303,9.134999971389771,-62.699375,-65.888125,-65.888125,-101.500625,-101.62125,-101.25875,14.0,16.0,19178.0,26407.0
11800000.0,655868.0,1175493.0,-2.4179999965429304,5.920000009536743,3.102999995350838,8.636999950408935,-62.173125,-65.06125,-65.06125,-100.57625,-100.971875,-100.32375,15.0,17.0,19657.0,30962.0
13200000.0,591253.0,1462876.0,-3.267000011205673,5.4809999704360965,3.4619999969005586,11.351000018119812,-62.778125,-67.109375,-67.109375,-101.25875,-102.738125,-101.216875,14.0,16.0,21078.0,33936.0
14100000.0,631799.0,1330042.0,-2.9699999856948853,7.000000020414591,3.8409999990463257,10.62700002193451,-62.188125,-66.886875,-66.886875,-100.798125,-102.59,-100.788125,14.0,18.0,22692.0,31864.0
12300000.0,840446.0,924343.0,-3.2339999985694887,8.37300000667572,3.8439999842643737,9.184000015258789,-62.63375,-65.87375,-65.87375,-101.341875,-101.528125,-100.721875,15.0,15.0,25599.0,24796.0
13500000.0,706191.0,1319248.0,-2.960999996960163,5.1420000132918355,3.2419999957084658,9.804000005722045,-61.985625,-64.589375,-64.589375,-100.694375,-101.024375,-100.418125,12.0,14.0,30272.0,36468.0
15100000.0,696394.0,1594431.0,-4.152999987602234,-0.6029999995976687,4.006000011563301,9.797000007629395,-61.19125,-62.866875,-62.866875,-100.256875,-100.25375,-99.885625,11.0,14.0,29863.0,40332.0
18200000.0,918212.0,1773533.0,-3.601000015735626,1.2899999985098838,1.8549999889731408,7.758000016212463,-62.00375,-63.354375,-63.354375,-100.8325,-99.91875,-99.725,13.0,17.0,36441.0,47284.0
20500000.0,1800979.0,3106861.0,-3.108000001609325,0.9749999979138374,0.6900000068545341,9.562999966144561,-60.960625,-63.89625,-63.89625,-99.79,-100.9225,-99.5675,13.0,19.0,68442.0,71234.0
40800000.0,2256675.0,3838998.0,-2.492999990135431,-0.15199999794363975,0.7229999977350235,10.017000026702881,-61.776875,-60.914375,-60.914375,-99.99125,-98.143125,-98.09,12.0,18.0,75925.0,93076.0
45200000.0,3053251.0,3394671.0,-2.9029999774694444,1.990000000745058,-0.9279999922960996,9.499000008106231,-61.359375,-62.221875,-62.221875,-99.671875,-99.19875,-98.163125,17.0,16.0,80443.0,91684.0
46600000.0,3246727.0,4153704.0,-1.5699999985098838,2.893999990820885,4.8659999856352805,12.026999988555907,-61.115625,-61.721875,-61.721875,-99.3525,-98.955,-98.564375,16.0,15.0,88121.0,93404.0
50200000.0,3466060.0,4682355.0,-2.1729999954253434,2.5089999821037052,6.745999999046326,10.827000012397766,-61.395,-61.465625,-61.465625,-99.7625,-98.40125,-98.40125,17.0,15.0,88028.0,93812.0
62100000.0,3728884.0,4395343.0,-1.6910000068694353,3.8280000009387734,8.207000002861022,10.322999987602234,-61.2525,-60.794375,-60.794375,-99.429375,-97.63875,-97.63875,18.0,14.0,90436.0,94404.0
53200000.0,3448148.0,3920608.0,-2.1739999989420173,2.084999996647239,6.607000012397766,8.928000001907348,-60.55,-61.671875,-61.671875,-99.14125,-98.41125,-98.345625,17.0,14.0,88022.0,92808.0
47200000.0,3460831.0,3229243.0,-1.4189999947696925,1.3350000024586917,1.9700000018626451,6.8269999933242795,-60.73375,-61.215,-61.215,-98.926875,-98.103125,-98.061875,16.0,15.0,89405.0,93880.0
48200000.0,3427511.0,2705474.0,-0.9499999946355819,4.055999997630716,1.122000001743436,8.672999992370606,-59.97625,-61.308125,-61.308125,-98.206875,-97.90625,-97.59875,19.0,15.0,78292.0,77245.0
41200000.0,3557246.0,3464771.0,-1.3710000021755695,5.041999994516373,1.9879999978095293,10.001999998092652,-60.931875,-60.87,-60.87,-98.79125,-97.6725,-97.6725,18.0,17.0,86533.0,89692.0
51700000.0,3874412.0,3636293.0,-0.24300000220537185,4.910999984741211,3.81399999499321,10.338999977111817,-60.90375,-60.931875,-60.931875,-98.484375,-97.4975,-97.4975,18.0,17.0,91632.0,93732.0
52500000.0,3751990.0,3659296.0,-1.6039999988675118,4.961999979019165,6.090999994277954,7.06,-60.794375,-60.65625,-60.65625,-99.059375,-97.505625,-97.505625,18.0,15.0,90527.0,89968.0
48500000.0,3630269.0,3530644.0,-2.046000008955598,6.061000008583068,5.3300000110268595,8.263999967575073,-60.55875,-59.914375,-59.914375,-99.105625,-96.81875,-96.81875,18.0,16.0,85438.0,91212.0
46600000.0,1853661.0,2562725.0,0.6270000091195107,8.498999981880187,6.635000021457672,10.180999984741211,-61.33125,-61.24125,-61.24125,-98.636875,-97.295625,-97.295625,18.0,17.0,44580.0,61087.0
22200000.0,1706335.0,1976526.0,1.8659999887645244,6.489999990463257,9.055000007152557,9.093999991416931,-61.1875,-61.0,-61.0,-98.824375,-97.720625,-97.670625,16.0,13.0,46252.0,41713.0
23100000.0,1055075.0,1491219.0,-1.3699999839067458,7.44300000667572,6.097000007778406,10.197000012397766,-61.790625,-60.81875,-60.81875,-99.80875,-97.181875,-97.181875,15.0,14.0,30996.0,36219.0
